driver_id,period,rule_id,target_id,target_type,driver_value,driver_weight
DRV00001_B001,2025-01,RULE_202501_01_V2,B001,BRANCH,63.27,0.03783047
DRV00001_B002,2025-01,RULE_202501_01_V2,B002,BRANCH,536.66,0.32086798
DRV00001_B003,2025-01,RULE_202501_01_V2,B003,BRANCH,273.15,0.1633155
DRV00001_B004,2025-01,RULE_202501_01_V2,B004,BRANCH,164.97,0.0986351
DRV00001_B005,2025-01,RULE_202501_01_V2,B005,BRANCH,104.23,0.06231819
DRV00001_B006,2025-01,RULE_202501_01_V2,B006,BRANCH,160.38,0.0958909
DRV00001_B007,2025-01,RULE_202501_01_V2,B007,BRANCH,152.16,0.09097513
DRV00001_B008,2025-01,RULE_202501_01_V2,B008,BRANCH,217.71,0.13016674
DRV00002_B001,2025-01,RULE_202501_02_V2,B001,BRANCH,295.06,0.17249498
DRV00002_B002,2025-01,RULE_202501_02_V2,B002,BRANCH,175.0,0.10230355
DRV00002_B003,2025-01,RULE_202501_02_V2,B003,BRANCH,211.81,0.12382653
DRV00002_B004,2025-01,RULE_202501_02_V2,B004,BRANCH,163.22,0.09542094
DRV00002_B005,2025-01,RULE_202501_02_V2,B005,BRANCH,296.7,0.17345391
DRV00002_B006,2025-01,RULE_202501_02_V2,B006,BRANCH,204.89,0.11977795
DRV00002_B007,2025-01,RULE_202501_02_V2,B007,BRANCH,109.75,0.06415786
DRV00002_B008,2025-01,RULE_202501_02_V2,B008,BRANCH,254.13,0.14856428
DRV00003_B001,2025-01,RULE_202501_03_V2,B001,BRANCH,191.96,0.10694561
DRV00003_B002,2025-01,RULE_202501_03_V2,B002,BRANCH,377.45,0.2102862
DRV00003_B003,2025-01,RULE_202501_03_V2,B003,BRANCH,345.96,0.19273807
DRV00003_B004,2025-01,RULE_202501_03_V2,B004,BRANCH,207.28,0.11547814
DRV00003_B005,2025-01,RULE_202501_03_V2,B005,BRANCH,252.83,0.1408582
DRV00003_B006,2025-01,RULE_202501_03_V2,B006,BRANCH,140.79,0.07843657
DRV00003_B007,2025-01,RULE_202501_03_V2,B007,BRANCH,170.9,0.09521363
DRV00003_B008,2025-01,RULE_202501_03_V2,B008,BRANCH,107.78,0.06004358
DRV00004_B001,2025-01,RULE_202501_04_V2,B001,BRANCH,268.72,0.22949797
DRV00004_B002,2025-01,RULE_202501_04_V2,B002,BRANCH,77.65,0.06631875
DRV00004_B003,2025-01,RULE_202501_04_V2,B003,BRANCH,221.37,0.18905315
DRV00004_B004,2025-01,RULE_202501_04_V2,B004,BRANCH,43.98,0.03756423
DRV00004_B005,2025-01,RULE_202501_04_V2,B005,BRANCH,39.92,0.03408977
DRV00004_B006,2025-01,RULE_202501_04_V2,B006,BRANCH,280.56,0.23960222
DRV00004_B007,2025-01,RULE_202501_04_V2,B007,BRANCH,43.94,0.03752411
DRV00004_B008,2025-01,RULE_202501_04_V2,B008,BRANCH,194.78,0.16634981
DRV00005_B001,2025-01,RULE_202501_05_V2,B001,BRANCH,109.4,0.09688747
DRV00005_B002,2025-01,RULE_202501_05_V2,B002,BRANCH,60.17,0.05328846
DRV00005_B003,2025-01,RULE_202501_05_V2,B003,BRANCH,168.06,0.14884029
DRV00005_B004,2025-01,RULE_202501_05_V2,B004,BRANCH,82.83,0.07335893
DRV00005_B005,2025-01,RULE_202501_05_V2,B005,BRANCH,31.05,0.02749696
DRV00005_B006,2025-01,RULE_202501_05_V2,B006,BRANCH,202.62,0.17945014
DRV00005_B007,2025-01,RULE_202501_05_V2,B007,BRANCH,175.9,0.15578889
DRV00005_B008,2025-01,RULE_202501_05_V2,B008,BRANCH,299.09,0.26488886
DRV00006_B001,2025-01,RULE_202501_06_V2,B001,BRANCH,173.02,0.12890801
DRV00006_B002,2025-01,RULE_202501_06_V2,B002,BRANCH,234.58,0.17477341
DRV00006_B003,2025-01,RULE_202501_06_V2,B003,BRANCH,114.48,0.08529487
DRV00006_B004,2025-01,RULE_202501_06_V2,B004,BRANCH,281.31,0.20958633
DRV00006_B005,2025-01,RULE_202501_06_V2,B005,BRANCH,40.91,0.03048147
DRV00006_B006,2025-01,RULE_202501_06_V2,B006,BRANCH,106.57,0.07940189
DRV00006_B007,2025-01,RULE_202501_06_V2,B007,BRANCH,272.3,0.20287569
DRV00006_B008,2025-01,RULE_202501_06_V2,B008,BRANCH,119.03,0.08867832
DRV00007_B001,2025-01,RULE_202501_07_V2,B001,BRANCH,244.56,0.19010891
DRV00007_B002,2025-01,RULE_202501_07_V2,B002,BRANCH,155.67,0.12101054
DRV00007_B003,2025-01,RULE_202501_07_V2,B003,BRANCH,270.51,0.21027985
DRV00007_B004,2025-01,RULE_202501_07_V2,B004,BRANCH,55.95,0.04349089
DRV00007_B005,2025-01,RULE_202501_07_V2,B005,BRANCH,96.84,0.07528032
DRV00007_B006,2025-01,RULE_202501_07_V2,B006,BRANCH,272.56,0.21187475
DRV00007_B007,2025-01,RULE_202501_07_V2,B007,BRANCH,133.35,0.10366348
DRV00007_B008,2025-01,RULE_202501_07_V2,B008,BRANCH,56.98,0.04429127
DRV00008_B001,2025-01,RULE_202501_08_V2,B001,BRANCH,388.11,0.25935894
DRV00008_B002,2025-01,RULE_202501_08_V2,B002,BRANCH,303.96,0.20312322
DRV00008_B003,2025-01,RULE_202501_08_V2,B003,BRANCH,264.85,0.17699188
DRV00008_B004,2025-01,RULE_202501_08_V2,B004,BRANCH,118.62,0.07926965
DRV00008_B005,2025-01,RULE_202501_08_V2,B005,BRANCH,84.58,0.05652052
DRV00008_B006,2025-01,RULE_202501_08_V2,B006,BRANCH,34.77,0.02323316
DRV00008_B007,2025-01,RULE_202501_08_V2,B007,BRANCH,109.43,0.07312525
DRV00008_B008,2025-01,RULE_202501_08_V2,B008,BRANCH,192.11,0.12837738
DRV00009_B001,2025-01,RULE_202501_09_V2,B001,BRANCH,61.77,0.06189235
DRV00009_B002,2025-01,RULE_202501_09_V2,B002,BRANCH,39.98,0.04006625
DRV00009_B003,2025-01,RULE_202501_09_V2,B003,BRANCH,52.98,0.05309224
DRV00009_B004,2025-01,RULE_202501_09_V2,B004,BRANCH,295.96,0.29657002
DRV00009_B005,2025-01,RULE_202501_09_V2,B005,BRANCH,163.77,0.16410587
DRV00009_B006,2025-01,RULE_202501_09_V2,B006,BRANCH,48.7,0.04879632
DRV00009_B007,2025-01,RULE_202501_09_V2,B007,BRANCH,172.93,0.17328752
DRV00009_B008,2025-01,RULE_202501_09_V2,B008,BRANCH,161.86,0.16218943
DRV00010_B001,2025-01,RULE_202501_10_V2,B001,BRANCH,101.17,0.08816324
DRV00010_B002,2025-01,RULE_202501_10_V2,B002,BRANCH,144.8,0.12618515
DRV00010_B003,2025-01,RULE_202501_10_V2,B003,BRANCH,272.26,0.23725991
DRV00010_B004,2025-01,RULE_202501_10_V2,B004,BRANCH,38.59,0.03362942
DRV00010_B005,2025-01,RULE_202501_10_V2,B005,BRANCH,209.26,0.18236151
DRV00010_B006,2025-01,RULE_202501_10_V2,B006,BRANCH,130.58,0.11379417
DRV00010_B007,2025-01,RULE_202501_10_V2,B007,BRANCH,211.15,0.1840059
DRV00010_B008,2025-01,RULE_202501_10_V2,B008,BRANCH,39.7,0.0346007
DRV00011_B001,2025-02,RULE_202502_01_V2,B001,BRANCH,166.83,0.13754623
DRV00011_B002,2025-02,RULE_202502_01_V2,B002,BRANCH,92.39,0.07616843
DRV00011_B003,2025-02,RULE_202502_01_V2,B003,BRANCH,135.94,0.11207393
DRV00011_B004,2025-02,RULE_202502_01_V2,B004,BRANCH,195.97,0.16157351
DRV00011_B005,2025-02,RULE_202502_01_V2,B005,BRANCH,87.46,0.07210973
DRV00011_B006,2025-02,RULE_202502_01_V2,B006,BRANCH,120.12,0.09903835
DRV00011_B007,2025-02,RULE_202502_01_V2,B007,BRANCH,226.54,0.18677534
DRV00011_B008,2025-02,RULE_202502_01_V2,B008,BRANCH,187.65,0.15471448
DRV00012_B001,2025-02,RULE_202502_02_V2,B001,BRANCH,81.11,0.05397799
DRV00012_B002,2025-02,RULE_202502_02_V2,B002,BRANCH,127.95,0.08514972
DRV00012_B003,2025-02,RULE_202502_02_V2,B003,BRANCH,209.9,0.13968691
DRV00012_B004,2025-02,RULE_202502_02_V2,B004,BRANCH,173.06,0.11516624
DRV00012_B005,2025-02,RULE_202502_02_V2,B005,BRANCH,216.61,0.14415198
DRV00012_B006,2025-02,RULE_202502_02_V2,B006,BRANCH,120.75,0.08035758
DRV00012_B007,2025-02,RULE_202502_02_V2,B007,BRANCH,293.06,0.19502414
DRV00012_B008,2025-02,RULE_202502_02_V2,B008,BRANCH,280.23,0.18648543
DRV00013_B001,2025-02,RULE_202502_03_V2,B001,BRANCH,322.41,0.25593469
DRV00013_B002,2025-02,RULE_202502_03_V2,B002,BRANCH,142.73,0.11330031
DRV00013_B003,2025-02,RULE_202502_03_V2,B003,BRANCH,116.78,0.09269901
DRV00013_B004,2025-02,RULE_202502_03_V2,B004,BRANCH,36.24,0.02876524
DRV00013_B005,2025-02,RULE_202502_03_V2,B005,BRANCH,30.55,0.02424943
DRV00013_B006,2025-02,RULE_202502_03_V2,B006,BRANCH,189.49,0.15042463
DRV00013_B007,2025-02,RULE_202502_03_V2,B007,BRANCH,271.05,0.21516736
DRV00013_B008,2025-02,RULE_202502_03_V2,B008,BRANCH,150.49,0.11945933
DRV00014_B001,2025-02,RULE_202502_04_V2,B001,BRANCH,76.88,0.05988147
DRV00014_B002,2025-02,RULE_202502_04_V2,B002,BRANCH,139.86,0.10893817
DRV00014_B003,2025-02,RULE_202502_04_V2,B003,BRANCH,251.08,0.19556764
DRV00014_B004,2025-02,RULE_202502_04_V2,B004,BRANCH,45.15,0.03517109
DRV00014_B005,2025-02,RULE_202502_04_V2,B005,BRANCH,117.3,0.09136821
DRV00014_B006,2025-02,RULE_202502_04_V2,B006,BRANCH,194.67,0.15163127
DRV00014_B007,2025-02,RULE_202502_04_V2,B007,BRANCH,223.81,0.17432903
DRV00014_B008,2025-02,RULE_202502_04_V2,B008,BRANCH,235.09,0.18311312
DRV00015_B001,2025-02,RULE_202502_05_V2,B001,BRANCH,243.82,0.21578102
DRV00015_B002,2025-02,RULE_202502_05_V2,B002,BRANCH,278.9,0.24683323
DRV00015_B003,2025-02,RULE_202502_05_V2,B003,BRANCH,69.85,0.06181905
DRV00015_B004,2025-02,RULE_202502_05_V2,B004,BRANCH,80.23,0.07100274
DRV00015_B005,2025-02,RULE_202502_05_V2,B005,BRANCH,111.67,0.09883174
DRV00015_B006,2025-02,RULE_202502_05_V2,B006,BRANCH,88.16,0.0780255
DRV00015_B007,2025-02,RULE_202502_05_V2,B007,BRANCH,97.03,0.08587631
DRV00015_B008,2025-02,RULE_202502_05_V2,B008,BRANCH,160.26,0.14183041
DRV00016_B001,2025-02,RULE_202502_06_V2,B001,BRANCH,283.28,0.20375722
