allocation_id,period,pool_id,rule_id,target_id,target_type,allocated_amount,allocation_ratio,posting_status,management_account_code
ALLOC00001_B001,2025-01,POOL00001,RULE_202501_01_V2,B001,BRANCH,101951.53,0.03783047,POSTED,6602
ALLOC00001_B002,2025-01,POOL00001,RULE_202501_01_V2,B002,BRANCH,864725.86,0.32086798,POSTED,6602
ALLOC00001_B003,2025-01,POOL00001,RULE_202501_01_V2,B003,BRANCH,440128.47,0.1633155,POSTED,6602
ALLOC00001_B004,2025-01,POOL00001,RULE_202501_01_V2,B004,BRANCH,265817.49,0.0986351,POSTED,6602
ALLOC00001_B005,2025-01,POOL00001,RULE_202501_01_V2,B005,BRANCH,167944.93,0.06231819,POSTED,6602
ALLOC00001_B006,2025-01,POOL00001,RULE_202501_01_V2,B006,BRANCH,258421.99,0.0958909,POSTED,6602
ALLOC00001_B007,2025-01,POOL00001,RULE_202501_01_V2,B007,BRANCH,245174.18,0.09097513,POSTED,6602
ALLOC00001_B008,2025-01,POOL00001,RULE_202501_01_V2,B008,BRANCH,350793.94,0.13016674,POSTED,6602
ALLOC00002_B001,2025-01,POOL00002,RULE_202501_02_V2,B001,BRANCH,67999.44,0.17249498,POSTED,6602
ALLOC00002_B002,2025-01,POOL00002,RULE_202501_02_V2,B002,BRANCH,40329.19,0.10230355,POSTED,6602
ALLOC00002_B003,2025-01,POOL00002,RULE_202501_02_V2,B003,BRANCH,48813.79,0.12382653,POSTED,6602
ALLOC00002_B004,2025-01,POOL00002,RULE_202501_02_V2,B004,BRANCH,37615.99,0.09542094,POSTED,6602
ALLOC00002_B005,2025-01,POOL00002,RULE_202501_02_V2,B005,BRANCH,68377.46,0.17345391,POSTED,6602
ALLOC00002_B006,2025-01,POOL00002,RULE_202501_02_V2,B006,BRANCH,47217.8,0.11977795,POSTED,6602
ALLOC00002_B007,2025-01,POOL00002,RULE_202501_02_V2,B007,BRANCH,25291.74,0.06415786,POSTED,6602
ALLOC00002_B008,2025-01,POOL00002,RULE_202501_02_V2,B008,BRANCH,58565.69,0.14856428,POSTED,6602
ALLOC00003_B001,2025-01,POOL00003,RULE_202501_03_V2,B001,BRANCH,965129.11,0.10694561,POSTED,6602
ALLOC00003_B002,2025-01,POOL00003,RULE_202501_03_V2,B002,BRANCH,1897724.71,0.2102862,POSTED,6602
ALLOC00003_B003,2025-01,POOL00003,RULE_202501_03_V2,B003,BRANCH,1739361.87,0.19273807,POSTED,6602
ALLOC00003_B004,2025-01,POOL00003,RULE_202501_03_V2,B004,BRANCH,1042130.75,0.11547814,POSTED,6602
ALLOC00003_B005,2025-01,POOL00003,RULE_202501_03_V2,B005,BRANCH,1271172.75,0.1408582,POSTED,6602
ALLOC00003_B006,2025-01,POOL00003,RULE_202501_03_V2,B006,BRANCH,707849.63,0.07843657,POSTED,6602
