account_code,account_name,account_class,normal_balance,statement_type,parent_account_code,is_leaf,description
1001,库存现金,资产类,DR,BS,,True,现金
1002,银行存款,资产类,DR,BS,,True,自有及客户银行存款
1012,其他货币资金,资产类,DR,BS,,True,其他货币资金
1021,结算备付金,资产类,DR,BS,,True,证券结算备付金
1031,存出保证金,资产类,DR,BS,,True,交易及信用保证金
1101,交易性金融资产,资产类,DR,BS,,True,以公允价值计量且其变动计入当期损益的金融资产
1111,买入返售金融资产,资产类,DR,BS,,True,买入返售金融资产
1122,应收账款,资产类,DR,BS,,True,应收手续费及清算款
1131,应收股利,资产类,DR,BS,,True,应收股利
1132,应收利息,资产类,DR,BS,,True,应收利息
1201,融出资金,资产类,DR,BS,,True,融资融券融出资金
1221,其他应收款,资产类,DR,BS,,True,其他应收款
1231,坏账准备,资产类,CR,BS,1122,True,应收款减值准备
1501,持有至到期投资,资产类,DR,BS,,True,持有至到期投资
1511,长期股权投资,资产类,DR,BS,,True,长期股权投资
1601,固定资产,资产类,DR,BS,,True,固定资产
1602,累计折旧,资产类,CR,BS,1601,True,累计折旧
1701,无形资产,资产类,DR,BS,,True,无形资产
1811,递延所得税资产,资产类,DR,BS,,True,递延所得税资产
2001,短期借款,负债类,CR,BS,,True,短期借款
2101,交易性金融负债,负债类,CR,BS,,True,交易性金融负债
2111,卖出回购金融资产款,负债类,CR,BS,,True,卖出回购业务融资
2201,应付票据,负债类,CR,BS,,True,应付票据
2202,应付账款,负债类,CR,BS,,True,应付款项
2211,应付职工薪酬,负债类,CR,BS,,True,应付职工薪酬
2221,应交税费,负债类,CR,BS,,True,应交税费
2231,应付利息,负债类,CR,BS,,True,应付利息
2241,其他应付款,负债类,CR,BS,,True,其他应付款
2311,代理买卖证券款,负债类,CR,BS,,True,客户交易结算资金
2501,长期借款,负债类,CR,BS,,True,长期借款
2801,预计负债,负债类,CR,BS,,True,预计负债
2901,递延所得税负债,负债类,CR,BS,,True,递延所得税负债
4001,实收资本或股本,所有者权益类,CR,BS,,True,股本
4002,资本公积,所有者权益类,CR,BS,,True,资本公积
4101,盈余公积,所有者权益类,CR,BS,,True,法定盈余公积
4103,本年利润,所有者权益类,CR,BS,,True,本年利润
4104,利润分配,所有者权益类,CR,BS,,True,未分配利润
4201,库存股,所有者权益类,DR,BS,,True,库存股
5001,业务成本归集,成本类,DR,PL,,True,成本归集
6001,主营业务收入,损益类,CR,PL,,True,营业收入
6011,利息收入,损益类,CR,PL,6001,True,利息收入
6021,手续费及佣金收入,损益类,CR,PL,6001,True,经纪及其他手续费佣金收入
6022,财富管理代销收入,损益类,CR,PL,6021,True,代销金融产品收入
6023,投资银行业务收入,损益类,CR,PL,6021,True,承销保荐及财务顾问收入
6024,资产管理业务收入,损益类,CR,PL,6021,True,资管及基金管理费
6031,投资收益,损益类,CR,PL,6001,True,金融工具投资收益
6041,公允价值变动损益,损益类,CR,PL,6001,True,公允价值变动收益
6051,其他业务收入,损益类,CR,PL,6001,True,其他业务收入
6111,手续费及佣金支出,损益类,DR,PL,,True,手续费及佣金支出
6401,主营业务成本,损益类,DR,PL,,True,主营业务成本
6402,其他业务成本,损益类,DR,PL,,True,其他业务成本
6411,利息支出,损益类,DR,PL,,True,利息支出
6601,销售费用,损益类,DR,PL,,True,销售费用
6602,管理费用,损益类,DR,PL,,True,业务及管理费
6603,财务费用,损益类,DR,PL,,True,财务费用
6701,资产减值损失,损益类,DR,PL,,True,资产减值损失
6711,信用减值损失,损益类,DR,PL,,True,信用减值损失
6801,所得税费用,损益类,DR,PL,,True,所得税费用
6901,以前年度损益调整,损益类,DR,PL,,True,以前年度损益调整
