commission_id,trade_id,calc_date,commission_rate,gross_commission,discount_amount,net_commission,tax_amount,revenue_amount,calc_batch_id,status
CM0000001,T0000001,2025-01-25,0.00037082,8565914.83,129644.24,8436270.6,477524.75,7958745.85,COMM_202501_B001,POSTED
CM0000002,T0000002,2025-01-25,0.00033342,15640000.93,207604.14,15432396.79,873531.89,14558864.89,COMM_202501_B001,POSTED
CM0000003,T0000003,2025-01-25,0.00039561,4285945.66,88685.93,4197259.73,237580.74,3959678.99,COMM_202501_B001,POSTED
CM0000004,T0000004,2025-01-25,0.00044259,14297255.64,256724.2,14040531.44,794747.06,13245784.38,COMM_202501_B001,POSTED
CM0000005,T0000005,2025-01-25,0.00042394,998985.42,15702.73,983282.68,55657.51,927625.17,COMM_202501_B002,POSTED
CM0000006,T0000006,2025-01-25,0.00042301,1811418.51,45913.85,1765504.65,99934.23,1665570.43,COMM_202501_B002,POSTED
CM0000007,T0000007,2025-01-25,0.00037652,26434946.76,611411.48,25823535.28,1461709.54,24361825.74,COMM_202501_B002,POSTED
CM0000008,T0000008,2025-01-25,0.0003859,24519795.85,459045.27,24060750.57,1361929.28,22698821.3,COMM_202501_B002,POSTED
CM0000009,T0000009,2025-01-25,0.00034673,3218777.91,76018.43,3142759.48,177892.05,2964867.43,COMM_202501_B003,POSTED
CM0000010,T0000010,2025-01-25,0.00038584,1731953.31,50461.02,1681492.29,95178.81,1586313.48,COMM_202501_B003,POSTED
CM0000011,T0000011,2025-01-25,0.00034763,27258144.79,279450.97,26978693.82,1527095.88,25451597.94,COMM_202501_B003,POSTED
CM0000012,T0000012,2025-01-25,0.00038654,2441115.08,32563.1,2408551.99,136333.13,2272218.85,COMM_202501_B003,POSTED
CM0000013,T0000013,2025-01-25,0.00021649,9517303.3,118400.06,9398903.24,532013.39,8866889.85,COMM_202501_B004,POSTED
CM0000014,T0000014,2025-01-25,0.00038359,5689575.08,84604.31,5604970.77,317262.5,5287708.28,COMM_202501_B004,POSTED
CM0000015,T0000015,2025-01-25,0.00044205,9192665.44,187442.1,9005223.34,509729.62,8495493.72,COMM_202501_B004,POSTED
CM0000016,T0000016,2025-01-25,0.00035271,5047869.45,108776.55,4939092.9,279571.3,4659521.61,COMM_202501_B004,POSTED
CM0000017,T0000017,2025-01-25,0.0003739,10573237.21,218144.88,10355092.34,586137.3,9768955.04,COMM_202501_B005,POSTED
CM0000018,T0000018,2025-01-25,0.00038268,7940964.43,257984.2,7682980.23,434885.67,7248094.56,COMM_202501_B005,POSTED
CM0000019,T0000019,2025-01-25,0.00044719,1980579.31,26248.09,1954331.22,110622.52,1843708.7,COMM_202501_B005,POSTED
CM0000020,T0000020,2025-01-25,0.00043416,3801645.73,109166.59,3692479.15,209008.25,3483470.9,COMM_202501_B005,POSTED
CM0000021,T0000021,2025-01-25,0.00045036,2261083.53,30404.29,2230679.24,126264.86,2104414.38,COMM_202501_B006,POSTED
CM0000022,T0000022,2025-01-25,0.00039005,11574831.49,222133.31,11352698.18,642605.56,10710092.63,COMM_202501_B006,POSTED
CM0000023,T0000023,2025-01-25,0.00023809,6671279.14,207344.45,6463934.7,365883.1,6098051.6,COMM_202501_B006,POSTED
CM0000024,T0000024,2025-01-25,0.00037523,1039168.77,33251.62,1005917.15,56938.71,948978.45,COMM_202501_B006,POSTED
CM0000025,T0000025,2025-01-25,0.00039928,625568.1,20427.45,605140.65,34253.24,570887.41,COMM_202501_B007,POSTED
CM0000026,T0000026,2025-01-25,0.00034291,13393933.72,335276.42,13058657.3,739169.28,12319488.02,COMM_202501_B007,POSTED
CM0000027,T0000027,2025-01-25,0.00023803,16773073.87,546059.96,16227013.91,918510.22,15308503.69,COMM_202501_B007,POSTED
CM0000028,T0000028,2025-01-25,0.00041417,7156397.62,204058.26,6952339.37,393528.64,6558810.72,COMM_202501_B007,POSTED
CM0000029,T0000029,2025-01-25,0.00033431,8710428.85,174223.5,8536205.35,483181.44,8053023.92,COMM_202501_B008,POSTED
CM0000030,T0000030,2025-01-25,0.00033534,3286321.98,58401.96,3227920.02,182712.45,3045207.57,COMM_202501_B008,POSTED
CM0000031,T0000031,2025-01-25,0.00042064,8016018.89,95609.71,7920409.18,448325.05,7472084.13,COMM_202501_B008,POSTED
CM0000032,T0000032,2025-01-25,0.00042835,4123886.17,123537.79,4000348.38,226434.81,3773913.56,COMM_202501_B008,POSTED
CM0000033,T0000033,2025-02-25,0.0002511,5087851.26,87767.6,5000083.66,283023.6,4717060.06,COMM_202502_B001,POSTED
CM0000034,T0000034,2025-02-25,0.00041531,21398734.88,593701.81,20805033.07,1177643.38,19627389.69,COMM_202502_B001,POSTED
CM0000035,T0000035,2025-02-25,0.00041676,1708151.46,45367.95,1662783.51,94119.82,1568663.69,COMM_202502_B001,POSTED
CM0000036,T0000036,2025-02-25,0.00025484,10128517.55,104365.66,10024151.89,567404.82,9456747.07,COMM_202502_B001,POSTED
CM0000037,T0000037,2025-02-25,0.00041785,8943435.03,297234.42,8646200.61,489407.58,8156793.03,COMM_202502_B002,POSTED
CM0000038,T0000038,2025-02-25,0.00037364,15287578.3,511139.94,14776438.36,836402.17,13940036.19,COMM_202502_B002,POSTED
CM0000039,T0000039,2025-02-25,0.00041953,3980946.27,61717.01,3919229.26,221843.17,3697386.1,COMM_202502_B002,POSTED
CM0000040,T0000040,2025-02-25,0.00041552,19916624.09,393427.15,19523196.93,1105086.62,18418110.31,COMM_202502_B002,POSTED
CM0000041,T0000041,2025-02-25,0.00043434,20274306.71,683601.66,19590705.05,1108907.83,18481797.22,COMM_202502_B003,POSTED
CM0000042,T0000042,2025-02-25,0.00021524,328162.43,7023.73,321138.7,18177.66,302961.04,COMM_202502_B003,POSTED
CM0000043,T0000043,2025-02-25,0.0003941,6365138.29,131354.07,6233784.22,352855.71,5880928.51,COMM_202502_B003,POSTED
CM0000044,T0000044,2025-02-25,0.00035526,4413655.7,96991.31,4316664.39,244339.49,4072324.89,COMM_202502_B003,POSTED
CM0000045,T0000045,2025-02-25,0.00029995,7923860.1,261715.35,7662144.75,433706.31,7228438.45,COMM_202502_B004,POSTED
CM0000046,T0000046,2025-02-25,0.0004407,9849574.51,154689.56,9694884.95,548767.07,9146117.87,COMM_202502_B004,POSTED
CM0000047,T0000047,2025-02-25,0.00044007,8305648.63,193393.01,8112255.62,459184.28,7653071.34,COMM_202502_B004,POSTED
CM0000048,T0000048,2025-02-25,0.00044216,314471.54,7971.02,306500.52,17349.09,289151.44,COMM_202502_B004,POSTED
CM0000049,T0000049,2025-02-25,0.00034913,1549753.72,19266.19,1530487.53,86631.37,1443856.16,COMM_202502_B005,POSTED
CM0000050,T0000050,2025-02-25,0.00044395,11773421.15,207562.85,11565858.31,654671.22,10911187.08,COMM_202502_B005,POSTED
CM0000051,T0000051,2025-02-25,0.0003974,7585320.28,129384.07,7455936.21,422034.13,7033902.09,COMM_202502_B005,POSTED
CM0000052,T0000052,2025-02-25,0.00039943,555036.68,18039.4,536997.28,30396.07,506601.21,COMM_202502_B005,POSTED
CM0000053,T0000053,2025-02-25,0.00042257,10663741.31,251680.5,10412060.81,589361.93,9822698.88,COMM_202502_B006,POSTED
CM0000054,T0000054,2025-02-25,0.00042029,4823279.98,151177.56,4672102.42,264458.63,4407643.79,COMM_202502_B006,POSTED
CM0000055,T0000055,2025-02-25,0.00032184,1463279.58,34253.67,1429025.92,80888.26,1348137.66,COMM_202502_B006,POSTED
CM0000056,T0000056,2025-02-25,0.00025544,2286813.97,53977.05,2232836.92,126387.0,2106449.92,COMM_202502_B006,POSTED
CM0000057,T0000057,2025-02-25,0.00038122,2459099.55,75344.09,2383755.47,134929.55,2248825.91,COMM_202502_B007,POSTED
CM0000058,T0000058,2025-02-25,0.00044565,3652582.58,71266.48,3581316.1,202716.01,3378600.09,COMM_202502_B007,POSTED
CM0000059,T0000059,2025-02-25,0.00043123,27295464.93,800227.23,26495237.7,1499730.44,24995507.27,COMM_202502_B007,POSTED
CM0000060,T0000060,2025-02-25,0.00043319,354407.95,9171.6,345236.35,19541.68,325694.67,COMM_202502_B007,POSTED
CM0000061,T0000061,2025-02-25,0.00038562,12564741.28,269541.3,12295199.98,695954.72,11599245.26,COMM_202502_B008,POSTED
CM0000062,T0000062,2025-02-25,0.00037051,14051.94,402.82,13649.12,772.59,12876.53,COMM_202502_B008,POSTED
CM0000063,T0000063,2025-02-25,0.00044981,7623743.09,128283.96,7495459.13,424271.27,7071187.86,COMM_202502_B008,POSTED
CM0000064,T0000064,2025-02-25,0.00037545,1320977.94,36006.84,1284971.1,72734.21,1212236.89,COMM_202502_B008,POSTED
CM0000065,T0000065,2025-03-25,0.00042924,24115669.36,510512.98,23605156.38,1336140.93,22269015.45,COMM_202503_B001,POSTED
CM0000066,T0000066,2025-03-25,0.00041141,5670166.74,96603.93,5573562.8,315484.69,5258078.12,COMM_202503_B001,POSTED
CM0000067,T0000067,2025-03-25,0.00039626,17699804.04,353509.7,17346294.35,981865.72,16364428.63,COMM_202503_B001,POSTED
CM0000068,T0000068,2025-03-25,0.00045254,794325.76,21673.52,772652.24,43735.03,728917.21,COMM_202503_B001,POSTED
CM0000069,T0000069,2025-03-25,0.00044543,18355864.07,586356.21,17769507.86,1005821.2,16763686.66,COMM_202503_B002,POSTED
CM0000070,T0000070,2025-03-25,0.00040659,2115269.69,42649.85,2072619.84,117318.1,1955301.74,COMM_202503_B002,POSTED
CM0000071,T0000071,2025-03-25,0.00024,8320369.98,197933.59,8122436.39,459760.55,7662675.84,COMM_202503_B002,POSTED
CM0000072,T0000072,2025-03-25,0.00031823,31809326.43,651808.31,31157518.12,1763633.1,29393885.02,COMM_202503_B002,POSTED
CM0000073,T0000073,2025-03-25,0.00041886,35591128.52,1009220.7,34581907.82,1957466.48,32624441.34,COMM_202503_B003,POSTED
CM0000074,T0000074,2025-03-25,0.00045058,1390777.11,25905.05,1364872.05,77256.91,1287615.15,COMM_202503_B003,POSTED
