customer_id,customer_type,branch_id,risk_level,open_date,status
C00001,RETAIL,B003,C2,2022-04-09,ACTIVE
C00002,RETAIL,B002,C5,2022-02-16,ACTIVE
C00003,RETAIL,B001,C2,2024-02-16,ACTIVE
C00004,RETAIL,B006,C3,2016-10-03,ACTIVE
C00005,INSTITUTION,B003,C4,2021-11-01,ACTIVE
C00006,HNW,B001,C2,2021-11-23,ACTIVE
C00007,INSTITUTION,B007,C3,2024-10-23,ACTIVE
C00008,HNW,B008,C2,2018-10-05,ACTIVE
C00009,RETAIL,B008,C3,2016-02-23,ACTIVE
C00010,RETAIL,B006,C4,2023-06-25,ACTIVE
C00011,RETAIL,B002,C3,2016-07-12,ACTIVE
C00012,RETAIL,B007,C2,2024-05-19,ACTIVE
C00013,RETAIL,B001,C2,2023-01-10,ACTIVE
C00014,HNW,B006,C2,2022-06-01,ACTIVE
C00015,RETAIL,B008,C4,2017-10-20,ACTIVE
C00016,INSTITUTION,B001,C2,2023-07-27,ACTIVE
C00017,HNW,B004,C4,2024-07-06,ACTIVE
C00018,INSTITUTION,B003,C2,2023-01-14,ACTIVE
C00019,INSTITUTION,B006,C3,2017-11-15,ACTIVE
C00020,HNW,B004,C4,2023-08-24,ACTIVE
C00021,RETAIL,B002,C3,2016-02-06,ACTIVE
C00022,RETAIL,B004,C4,2021-01-26,ACTIVE
C00023,RETAIL,B003,C3,2023-10-04,ACTIVE
C00024,RETAIL,B002,C3,2019-11-18,ACTIVE
C00025,RETAIL,B002,C2,2023-12-24,ACTIVE
C00026,RETAIL,B002,C2,2017-09-16,ACTIVE
C00027,RETAIL,B001,C3,2024-04-02,ACTIVE
C00028,RETAIL,B001,C2,2017-05-08,ACTIVE
C00029,RETAIL,B004,C2,2020-01-07,ACTIVE
C00030,RETAIL,B008,C3,2021-10-12,ACTIVE
C00031,RETAIL,B002,C4,2022-10-23,ACTIVE
C00032,INSTITUTION,B007,C3,2022-05-16,ACTIVE
C00033,HNW,B003,C4,2018-11-22,ACTIVE
C00034,RETAIL,B008,C2,2024-12-01,ACTIVE
C00035,INSTITUTION,B002,C4,2016-09-10,ACTIVE
C00036,RETAIL,B002,C3,2021-04-16,ACTIVE
C00037,RETAIL,B002,C2,2018-10-04,ACTIVE
C00038,RETAIL,B005,C3,2024-09-01,ACTIVE
C00039,RETAIL,B002,C5,2024-11-26,ACTIVE
C00040,INSTITUTION,B006,C3,2019-10-08,ACTIVE
C00041,HNW,B004,C3,2022-07-07,ACTIVE
C00042,RETAIL,B001,C3,2023-02-19,ACTIVE
C00043,HNW,B001,C3,2016-03-13,ACTIVE
C00044,HNW,B001,C2,2018-07-12,ACTIVE
C00045,INSTITUTION,B008,C3,2023-05-24,ACTIVE
C00046,RETAIL,B005,C2,2021-09-26,ACTIVE
C00047,HNW,B002,C2,2017-12-02,ACTIVE
C00048,RETAIL,B002,C3,2018-08-25,ACTIVE
C00049,RETAIL,B004,C2,2024-08-11,ACTIVE
C00050,INSTITUTION,B003,C4,2023-07-25,ACTIVE
C00051,RETAIL,B006,C3,2017-04-27,ACTIVE
C00052,HNW,B004,C3,2024-07-14,ACTIVE
C00053,RETAIL,B004,C4,2020-11-26,ACTIVE
C00054,HNW,B005,C2,2020-05-20,ACTIVE
C00055,HNW,B007,C2,2023-03-02,ACTIVE
C00056,RETAIL,B001,C2,2019-08-25,ACTIVE
C00057,RETAIL,B001,C3,2015-09-11,DORMANT
C00058,RETAIL,B001,C3,2019-08-12,ACTIVE
C00059,RETAIL,B002,C3,2016-08-07,ACTIVE
C00060,INSTITUTION,B007,C2,2018-01-14,ACTIVE
C00061,HNW,B001,C2,2023-05-01,ACTIVE
C00062,RETAIL,B007,C5,2021-12-12,ACTIVE
C00063,HNW,B006,C3,2022-07-04,ACTIVE
C00064,RETAIL,B001,C3,2016-02-14,ACTIVE
C00065,RETAIL,B006,C2,2021-11-10,ACTIVE
C00066,HNW,B008,C5,2017-12-08,ACTIVE
C00067,HNW,B003,C4,2018-01-27,ACTIVE
