pool_id,period,cost_type,cost_name,amount,source_account_code,allocation_basis,owner_dept
POOL00001,2025-01,IT_SYSTEM_COST,IT系统成本-1,2694958.39,6602,TRADE_COUNT,FINANCE_COE
POOL00002,2025-01,MARKET_DATA_COST,行情资讯成本-1,394211.1,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00003,2025-01,HQ_MANAGEMENT_COST,总部管理成本-1,9024485.12,6602,HEADCOUNT,FINANCE_COE
POOL00004,2025-01,RESEARCH_SUPPORT_COST,研究支持成本-1,6918302.59,6602,REVENUE,FINANCE_COE
POOL00005,2025-01,BRANCH_OPERATION_COST,营业部运营成本-1,7451300.86,6602,AREA,FINANCE_COE
POOL00006,2025-01,IT_SYSTEM_COST,IT系统成本-2,13642203.51,6602,TRADE_COUNT,FINANCE_COE
POOL00007,2025-01,MARKET_DATA_COST,行情资讯成本-2,5941099.76,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00008,2025-01,HQ_MANAGEMENT_COST,总部管理成本-2,11996558.09,6602,HEADCOUNT,FINANCE_COE
POOL00009,2025-01,RESEARCH_SUPPORT_COST,研究支持成本-2,12279194.26,6602,REVENUE,FINANCE_COE
POOL00010,2025-01,BRANCH_OPERATION_COST,营业部运营成本-2,4236658.51,6602,AREA,FINANCE_COE
POOL00011,2025-02,IT_SYSTEM_COST,IT系统成本-1,16292832.84,6602,TRADE_COUNT,FINANCE_COE
POOL00012,2025-02,MARKET_DATA_COST,行情资讯成本-1,3430941.39,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00013,2025-02,HQ_MANAGEMENT_COST,总部管理成本-1,1175428.77,6602,HEADCOUNT,FINANCE_COE
POOL00014,2025-02,RESEARCH_SUPPORT_COST,研究支持成本-1,3941878.33,6602,REVENUE,FINANCE_COE
POOL00015,2025-02,BRANCH_OPERATION_COST,营业部运营成本-1,11834780.62,6602,AREA,FINANCE_COE
POOL00016,2025-02,IT_SYSTEM_COST,IT系统成本-2,7288477.77,6602,TRADE_COUNT,FINANCE_COE
POOL00017,2025-02,MARKET_DATA_COST,行情资讯成本-2,10713770.69,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00018,2025-02,HQ_MANAGEMENT_COST,总部管理成本-2,8704214.68,6602,HEADCOUNT,FINANCE_COE
POOL00019,2025-02,RESEARCH_SUPPORT_COST,研究支持成本-2,307366.98,6602,REVENUE,FINANCE_COE
POOL00020,2025-02,BRANCH_OPERATION_COST,营业部运营成本-2,2716242.1,6602,AREA,FINANCE_COE
POOL00021,2025-03,IT_SYSTEM_COST,IT系统成本-1,473096.98,6602,TRADE_COUNT,FINANCE_COE
POOL00022,2025-03,MARKET_DATA_COST,行情资讯成本-1,14367976.3,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00023,2025-03,HQ_MANAGEMENT_COST,总部管理成本-1,5266861.32,6602,HEADCOUNT,FINANCE_COE
POOL00024,2025-03,RESEARCH_SUPPORT_COST,研究支持成本-1,3936377.56,6602,REVENUE,FINANCE_COE
POOL00025,2025-03,BRANCH_OPERATION_COST,营业部运营成本-1,3397499.25,6602,AREA,FINANCE_COE
POOL00026,2025-03,IT_SYSTEM_COST,IT系统成本-2,7249688.3,6602,TRADE_COUNT,FINANCE_COE
POOL00027,2025-03,MARKET_DATA_COST,行情资讯成本-2,9344344.93,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00028,2025-03,HQ_MANAGEMENT_COST,总部管理成本-2,14049665.56,6602,HEADCOUNT,FINANCE_COE
POOL00029,2025-03,RESEARCH_SUPPORT_COST,研究支持成本-2,6967746.89,6602,REVENUE,FINANCE_COE
POOL00030,2025-03,BRANCH_OPERATION_COST,营业部运营成本-2,18720382.93,6602,AREA,FINANCE_COE
POOL00031,2025-04,IT_SYSTEM_COST,IT系统成本-1,1347705.22,6602,TRADE_COUNT,FINANCE_COE
POOL00032,2025-04,MARKET_DATA_COST,行情资讯成本-1,10827041.27,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00033,2025-04,HQ_MANAGEMENT_COST,总部管理成本-1,8585939.86,6602,HEADCOUNT,FINANCE_COE
POOL00034,2025-04,RESEARCH_SUPPORT_COST,研究支持成本-1,16580334.43,6602,REVENUE,FINANCE_COE
POOL00035,2025-04,BRANCH_OPERATION_COST,营业部运营成本-1,17096162.19,6602,AREA,FINANCE_COE
POOL00036,2025-04,IT_SYSTEM_COST,IT系统成本-2,750841.31,6602,TRADE_COUNT,FINANCE_COE
POOL00037,2025-04,MARKET_DATA_COST,行情资讯成本-2,1240686.07,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00038,2025-04,HQ_MANAGEMENT_COST,总部管理成本-2,17553625.53,6602,HEADCOUNT,FINANCE_COE
POOL00039,2025-04,RESEARCH_SUPPORT_COST,研究支持成本-2,135770.57,6602,REVENUE,FINANCE_COE
POOL00040,2025-04,BRANCH_OPERATION_COST,营业部运营成本-2,5569014.54,6602,AREA,FINANCE_COE
POOL00041,2025-05,IT_SYSTEM_COST,IT系统成本-1,12293260.33,6602,TRADE_COUNT,FINANCE_COE
POOL00042,2025-05,MARKET_DATA_COST,行情资讯成本-1,4115751.51,6602,ACTIVE_CUSTOMER,FINANCE_COE
POOL00043,2025-05,HQ_MANAGEMENT_COST,总部管理成本-1,4809161.1,6602,HEADCOUNT,FINANCE_COE
POOL00044,2025-05,RESEARCH_SUPPORT_COST,研究支持成本-1,3427207.48,6602,REVENUE,FINANCE_COE
POOL00045,2025-05,BRANCH_OPERATION_COST,营业部运营成本-1,13206636.85,6602,AREA,FINANCE_COE
POOL00046,2025-05,IT_SYSTEM_COST,IT系统成本-2,26711999.37,6602,TRADE_COUNT,FINANCE_COE
POOL00047,2025-05,MARKET_DATA_COST,行情资讯成本-2,9483195.19,6602,ACTIVE_CUSTOMER,FINANCE_COE
