period,company_code,branch_id,biz_line_id,account_code,opening_balance,debit_amount,credit_amount,ending_balance
2025-01,CJSC_SYNTH,B001,BROKERAGE,1122,0.0,39723074.11,0.0,39723074.11
2025-01,CJSC_SYNTH,B001,BROKERAGE,6021,0.0,0.0,39723074.11,39723074.11
2025-01,CJSC_SYNTH,B002,BROKERAGE,1122,0.0,49653842.64,0.0,49653842.64
2025-01,CJSC_SYNTH,B002,BROKERAGE,6021,0.0,0.0,49653842.64,49653842.64
2025-01,CJSC_SYNTH,B003,BROKERAGE,1122,0.0,32274997.7,0.0,32274997.7
2025-01,CJSC_SYNTH,B003,BROKERAGE,6021,0.0,0.0,32274997.7,32274997.7
2025-01,CJSC_SYNTH,B004,BROKERAGE,1122,0.0,27309613.46,0.0,27309613.46
2025-01,CJSC_SYNTH,B004,BROKERAGE,6021,0.0,0.0,27309613.46,27309613.46
2025-01,CJSC_SYNTH,B005,BROKERAGE,1122,0.0,22344229.2,0.0,22344229.2
2025-01,CJSC_SYNTH,B005,BROKERAGE,6021,0.0,0.0,22344229.2,22344229.2
2025-01,CJSC_SYNTH,B005,WEALTH,1122,0.0,3001769.95,0.0,3001769.95
2025-01,CJSC_SYNTH,B005,WEALTH,6022,0.0,0.0,3001769.95,3001769.95
2025-01,CJSC_SYNTH,B006,BROKERAGE,1122,0.0,19861537.06,0.0,19861537.06
2025-01,CJSC_SYNTH,B006,BROKERAGE,6021,0.0,0.0,19861537.06,19861537.06
2025-01,CJSC_SYNTH,B007,BROKERAGE,1122,0.0,34757689.84,0.0,34757689.84
2025-01,CJSC_SYNTH,B007,BROKERAGE,6021,0.0,0.0,34757689.84,34757689.84
2025-01,CJSC_SYNTH,B008,BROKERAGE,1122,0.0,22344229.18,0.0,22344229.18
2025-01,CJSC_SYNTH,B008,BROKERAGE,6021,0.0,0.0,22344229.18,22344229.18
2025-02,CJSC_SYNTH,B001,BROKERAGE,1122,0.0,35369860.51,0.0,35369860.51
2025-02,CJSC_SYNTH,B001,BROKERAGE,6021,0.0,0.0,35369860.51,35369860.51
2025-02,CJSC_SYNTH,B002,BROKERAGE,1122,0.0,44212325.63,0.0,44212325.63
2025-02,CJSC_SYNTH,B002,BROKERAGE,6021,0.0,0.0,44212325.63,44212325.63
2025-02,CJSC_SYNTH,B002,WEALTH,1122,0.0,2672808.86,0.0,2672808.86
2025-02,CJSC_SYNTH,B002,WEALTH,6022,0.0,0.0,2672808.86,2672808.86
2025-02,CJSC_SYNTH,B003,BROKERAGE,1122,0.0,28738011.66,0.0,28738011.66
2025-02,CJSC_SYNTH,B003,BROKERAGE,6021,0.0,0.0,28738011.66,28738011.66
2025-02,CJSC_SYNTH,B004,BROKERAGE,1122,0.0,24316779.1,0.0,24316779.1
2025-02,CJSC_SYNTH,B004,BROKERAGE,6021,0.0,0.0,24316779.1,24316779.1
2025-02,CJSC_SYNTH,B005,BROKERAGE,1122,0.0,19895546.54,0.0,19895546.54
2025-02,CJSC_SYNTH,B005,BROKERAGE,6021,0.0,0.0,19895546.54,19895546.54
2025-02,CJSC_SYNTH,B006,BROKERAGE,1122,0.0,17684930.25,0.0,17684930.25
2025-02,CJSC_SYNTH,B006,BROKERAGE,6021,0.0,0.0,17684930.25,17684930.25
2025-02,CJSC_SYNTH,B007,BROKERAGE,1122,0.0,30948627.94,0.0,30948627.94
2025-02,CJSC_SYNTH,B007,BROKERAGE,6021,0.0,0.0,30948627.94,30948627.94
2025-02,CJSC_SYNTH,B008,BROKERAGE,1122,0.0,19895546.54,0.0,19895546.54
2025-02,CJSC_SYNTH,B008,BROKERAGE,6021,0.0,0.0,19895546.54,19895546.54
2025-03,CJSC_SYNTH,B001,BROKERAGE,1122,0.0,44620439.41,0.0,44620439.41
2025-03,CJSC_SYNTH,B001,BROKERAGE,6021,0.0,0.0,44620439.41,44620439.41
2025-03,CJSC_SYNTH,B002,BROKERAGE,1122,0.0,55775549.26,0.0,55775549.26
2025-03,CJSC_SYNTH,B002,BROKERAGE,6021,0.0,0.0,55775549.26,55775549.26
2025-03,CJSC_SYNTH,B003,BROKERAGE,1122,0.0,36254107.02,0.0,36254107.02
2025-03,CJSC_SYNTH,B003,BROKERAGE,6021,0.0,0.0,36254107.02,36254107.02
