batch_id,source_system,target_system,period,start_time,end_time,record_count,total_amount,status,error_message
COMM_202501_B001,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-01,2025-01-28 21:00:00,2025-01-28 21:08:00,4,39723074.1,SUCCESS,
COMM_202501_B002,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-01,2025-01-28 21:00:00,2025-01-28 21:08:00,4,49653842.63,SUCCESS,
COMM_202501_B003,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-01,2025-01-28 21:00:00,2025-01-28 21:08:00,4,32274997.71,SUCCESS,
COMM_202501_B004,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-01,2025-01-28 21:00:00,2025-01-28 21:08:00,4,27309613.45,SUCCESS,
COMM_202501_B005,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-01,2025-01-28 21:00:00,2025-01-28 21:08:00,4,22344229.18,SUCCESS,
COMM_202501_B006,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-01,2025-01-28 21:00:00,2025-01-28 21:08:00,4,19861537.05,SUCCESS,
COMM_202501_B007,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-01,2025-01-28 21:00:00,2025-01-28 21:08:00,4,34757689.84,SUCCESS,
COMM_202501_B008,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-01,2025-01-28 21:00:00,2025-01-28 21:08:00,4,22344229.18,SUCCESS,
COMM_202502_B001,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-02,2025-02-28 21:00:00,2025-02-28 21:08:00,4,35369860.5,SUCCESS,
COMM_202502_B002,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-02,2025-02-28 21:00:00,2025-02-28 21:08:00,4,44212325.63,SUCCESS,
COMM_202502_B003,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-02,2025-02-28 21:00:00,2025-02-28 21:08:00,4,28738011.66,SUCCESS,
COMM_202502_B004,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-02,2025-02-28 21:00:00,2025-02-28 21:08:00,4,24316779.1,SUCCESS,
COMM_202502_B005,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-02,2025-02-28 21:00:00,2025-02-28 21:08:00,4,19895546.53,SUCCESS,
COMM_202502_B006,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-02,2025-02-28 21:00:00,2025-02-28 21:08:00,4,17684930.25,SUCCESS,
COMM_202502_B007,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-02,2025-02-28 21:00:00,2025-02-28 21:08:00,4,30948627.94,SUCCESS,
COMM_202502_B008,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-02,2025-02-28 21:00:00,2025-02-28 21:08:00,4,19895546.53,SUCCESS,
COMM_202503_B001,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-03,2025-03-28 21:00:00,2025-03-28 21:08:00,4,44620439.4,SUCCESS,
COMM_202503_B002,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-03,2025-03-28 21:00:00,2025-03-28 21:08:00,4,55775549.26,SUCCESS,
COMM_202503_B003,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-03,2025-03-28 21:00:00,2025-03-28 21:08:00,4,36254107.02,SUCCESS,
COMM_202503_B004,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-03,2025-03-28 21:00:00,2025-03-28 21:08:00,4,30676552.09,FAILED,营业部批次未进入收入确认
COMM_202503_B005,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-03,2025-03-28 21:00:00,2025-03-28 21:08:00,4,25098997.17,SUCCESS,
COMM_202503_B006,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-03,2025-03-28 21:00:00,2025-03-28 21:08:00,4,22310219.7,SUCCESS,
COMM_202503_B007,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-03,2025-03-28 21:00:00,2025-03-28 21:08:00,4,39042884.48,SUCCESS,
COMM_202503_B008,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-03,2025-03-28 21:00:00,2025-03-28 21:08:00,4,25098997.17,SUCCESS,
COMM_202504_B001,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-04,2025-04-28 21:00:00,2025-04-28 21:08:00,4,42443832.6,SUCCESS,
COMM_202504_B002,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-04,2025-04-28 21:00:00,2025-04-28 21:08:00,4,53054790.76,SUCCESS,
COMM_202504_B003,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-04,2025-04-28 21:00:00,2025-04-28 21:08:00,4,34485613.99,SUCCESS,
COMM_202504_B004,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-04,2025-04-28 21:00:00,2025-04-28 21:08:00,4,29180134.92,SUCCESS,
COMM_202504_B005,COMMISSION_SYSTEM,REVENUE_SUBLEDGER,2025-04,2025-04-28 21:00:00,2025-04-28 21:08:00,4,23874655.84,SUCCESS,
