subledger_id,source_system,source_doc_id,period,biz_line_id,branch_id,customer_type,account_code,amount,dr_cr,accounting_standard,recognition_batch_id,status
SL0000001,COMMISSION_SYSTEM,CM0000001,2025-01,BROKERAGE,B001,RETAIL,6021,7958745.85,CR,CAS,COMM_202501_B001,RECOGNIZED
SL0000002,COMMISSION_SYSTEM,CM0000002,2025-01,BROKERAGE,B001,HNW,6021,14558864.89,CR,CAS,COMM_202501_B001,RECOGNIZED
SL0000003,COMMISSION_SYSTEM,CM0000003,2025-01,BROKERAGE,B001,RETAIL,6021,3959678.99,CR,CAS,COMM_202501_B001,RECOGNIZED
SL0000004,COMMISSION_SYSTEM,CM0000004,2025-01,BROKERAGE,B001,RETAIL,6021,13245784.38,CR,CAS,COMM_202501_B001,RECOGNIZED
SL0000005,COMMISSION_SYSTEM,CM0000005,2025-01,BROKERAGE,B002,RETAIL,6021,927625.17,CR,CAS,COMM_202501_B002,RECOGNIZED
SL0000006,COMMISSION_SYSTEM,CM0000006,2025-01,BROKERAGE,B002,RETAIL,6021,1665570.43,CR,CAS,COMM_202501_B002,RECOGNIZED
SL0000007,COMMISSION_SYSTEM,CM0000007,2025-01,BROKERAGE,B002,RETAIL,6021,24361825.74,CR,CAS,COMM_202501_B002,RECOGNIZED
SL0000008,COMMISSION_SYSTEM,CM0000008,2025-01,BROKERAGE,B002,RETAIL,6021,22698821.3,CR,CAS,COMM_202501_B002,RECOGNIZED
SL0000009,COMMISSION_SYSTEM,CM0000009,2025-01,BROKERAGE,B003,HNW,6021,2964867.43,CR,CAS,COMM_202501_B003,RECOGNIZED
SL0000010,COMMISSION_SYSTEM,CM0000010,2025-01,BROKERAGE,B003,RETAIL,6021,1586313.48,CR,CAS,COMM_202501_B003,RECOGNIZED
SL0000011,COMMISSION_SYSTEM,CM0000011,2025-01,BROKERAGE,B003,HNW,6021,25451597.94,CR,CAS,COMM_202501_B003,RECOGNIZED
SL0000012,COMMISSION_SYSTEM,CM0000012,2025-01,BROKERAGE,B003,RETAIL,6021,2272218.85,CR,CAS,COMM_202501_B003,RECOGNIZED
SL0000013,COMMISSION_SYSTEM,CM0000013,2025-01,BROKERAGE,B004,INSTITUTION,6021,8866889.85,CR,CAS,COMM_202501_B004,RECOGNIZED
SL0000014,COMMISSION_SYSTEM,CM0000014,2025-01,BROKERAGE,B004,RETAIL,6021,5287708.28,CR,CAS,COMM_202501_B004,RECOGNIZED
SL0000015,COMMISSION_SYSTEM,CM0000015,2025-01,BROKERAGE,B004,RETAIL,6021,8495493.72,CR,CAS,COMM_202501_B004,RECOGNIZED
SL0000016,COMMISSION_SYSTEM,CM0000016,2025-01,BROKERAGE,B004,HNW,6021,4659521.61,CR,CAS,COMM_202501_B004,RECOGNIZED
SL0000017,COMMISSION_SYSTEM,CM0000017,2025-01,BROKERAGE,B005,RETAIL,6021,9768955.04,CR,CAS,COMM_202501_B005,RECOGNIZED
SL0000018,COMMISSION_SYSTEM,CM0000018,2025-01,BROKERAGE,B005,RETAIL,6021,7248094.56,CR,CAS,COMM_202501_B005,RECOGNIZED
SL0000019,COMMISSION_SYSTEM,CM0000019,2025-01,BROKERAGE,B005,RETAIL,6021,1843708.7,CR,CAS,COMM_202501_B005,RECOGNIZED
SL0000020,COMMISSION_SYSTEM,CM0000020,2025-01,BROKERAGE,B005,RETAIL,6021,3483470.9,CR,CAS,COMM_202501_B005,RECOGNIZED
SL0000021,COMMISSION_SYSTEM,CM0000021,2025-01,BROKERAGE,B006,RETAIL,6021,2104414.38,CR,CAS,COMM_202501_B006,RECOGNIZED
SL0000022,COMMISSION_SYSTEM,CM0000022,2025-01,BROKERAGE,B006,RETAIL,6021,10710092.63,CR,CAS,COMM_202501_B006,RECOGNIZED
SL0000023,COMMISSION_SYSTEM,CM0000023,2025-01,BROKERAGE,B006,INSTITUTION,6021,6098051.6,CR,CAS,COMM_202501_B006,RECOGNIZED
SL0000024,COMMISSION_SYSTEM,CM0000024,2025-01,BROKERAGE,B006,RETAIL,6021,948978.45,CR,CAS,COMM_202501_B006,RECOGNIZED
SL0000025,COMMISSION_SYSTEM,CM0000025,2025-01,BROKERAGE,B007,RETAIL,6021,570887.41,CR,CAS,COMM_202501_B007,RECOGNIZED
SL0000026,COMMISSION_SYSTEM,CM0000026,2025-01,BROKERAGE,B007,HNW,6021,12319488.02,CR,CAS,COMM_202501_B007,RECOGNIZED
SL0000027,COMMISSION_SYSTEM,CM0000027,2025-01,BROKERAGE,B007,INSTITUTION,6021,15308503.69,CR,CAS,COMM_202501_B007,RECOGNIZED
SL0000028,COMMISSION_SYSTEM,CM0000028,2025-01,BROKERAGE,B007,RETAIL,6021,6558810.72,CR,CAS,COMM_202501_B007,RECOGNIZED
SL0000029,COMMISSION_SYSTEM,CM0000029,2025-01,BROKERAGE,B008,HNW,6021,8053023.92,CR,CAS,COMM_202501_B008,RECOGNIZED
SL0000030,COMMISSION_SYSTEM,CM0000030,2025-01,BROKERAGE,B008,HNW,6021,3045207.57,CR,CAS,COMM_202501_B008,RECOGNIZED
SL0000031,COMMISSION_SYSTEM,CM0000031,2025-01,BROKERAGE,B008,RETAIL,6021,7472084.13,CR,CAS,COMM_202501_B008,RECOGNIZED
SL0000032,COMMISSION_SYSTEM,CM0000032,2025-01,BROKERAGE,B008,RETAIL,6021,3773913.56,CR,CAS,COMM_202501_B008,RECOGNIZED
