trade_id,trade_date,settle_date,customer_id,branch_id,product_type,market,buy_sell,trade_amount,commission_rate,calculated_commission,clearing_batch_id
T0000001,2025-01-18,2025-01-04,C00057,B001,STOCK,SZSE,SELL,23100227208.41,0.00037082,8565914.83,COMM_202501_B001
T0000002,2025-01-10,2025-01-12,C00285,B001,FUND,SZSE,BUY,46908377123.96,0.00033342,15640000.93,COMM_202501_B001
T0000003,2025-01-01,2025-01-23,C00057,B001,ETF,SZSE,SELL,10833734592.97,0.00039561,4285945.66,COMM_202501_B001
T0000004,2025-01-03,2025-01-13,C00214,B001,STOCK,SSE,BUY,32303820726.78,0.00044259,14297255.64,COMM_202501_B001
T0000005,2025-01-17,2025-01-02,C00116,B002,STOCK,SSE,SELL,2356457225.84,0.00042394,998985.42,COMM_202501_B002
T0000006,2025-01-07,2025-01-05,C00031,B002,FUND,SSE,SELL,4282245573.24,0.00042301,1811418.51,COMM_202501_B002
T0000007,2025-01-21,2025-01-23,C00021,B002,STOCK,SSE,SELL,70208480189.83,0.00037652,26434946.76,COMM_202501_B002
T0000008,2025-01-22,2025-01-15,C00011,B002,STOCK,SZSE,BUY,63539663827.73,0.0003859,24519795.85,COMM_202501_B002
T0000009,2025-01-04,2025-01-07,C00033,B003,STOCK,SZSE,BUY,9283335744.12,0.00034673,3218777.91,COMM_202501_B003
T0000010,2025-01-16,2025-01-23,C00265,B003,BOND,SZSE,SELL,4488761375.92,0.00038584,1731953.31,COMM_202501_B003
T0000011,2025-01-06,2025-01-05,C00067,B003,STOCK,SZSE,BUY,78411617954.11,0.00034763,27258144.79,COMM_202501_B003
T0000012,2025-01-13,2025-01-17,C00141,B003,ETF,BSE,SELL,6315237295.98,0.00038654,2441115.08,COMM_202501_B003
T0000013,2025-01-11,2025-01-15,C00307,B004,FUND,SSE,SELL,43961690093.54,0.00021649,9517303.3,COMM_202501_B004
T0000014,2025-01-01,2025-01-13,C00117,B004,ETF,SZSE,SELL,14832476022.37,0.00038359,5689575.08,COMM_202501_B004
T0000015,2025-01-08,2025-01-24,C00085,B004,STOCK,SSE,SELL,20795300830.93,0.00044205,9192665.44,COMM_202501_B004
T0000016,2025-01-12,2025-01-22,C00072,B004,ETF,SZSE,SELL,14311618003.62,0.00035271,5047869.45,COMM_202501_B004
T0000017,2025-01-11,2025-01-26,C00290,B005,STOCK,SZSE,BUY,28278176538.25,0.0003739,10573237.21,COMM_202501_B005
T0000018,2025-01-09,2025-01-15,C00290,B005,ETF,SZSE,BUY,20750692367.13,0.00038268,7940964.43,COMM_202501_B005
T0000019,2025-01-13,2025-01-21,C00290,B005,FUND,SZSE,SELL,4428911948.99,0.00044719,1980579.31,COMM_202501_B005
